ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№22   | Инфинитив: apkérpėti           | Форма: "apkerpejote" (Jūs     ) | Варианты: apkérpėjote / apkerpė́jote
№23   | Инфинитив: apkérpėti           | Форма: "apkerpesiu" (Aš      ) | Варианты: apkérpėsiu / apkerpė́siu
№24   | Инфинитив: apkérpėti           | Форма: "apkerpesi" (Tu      ) | Варианты: apkérpėsi / apkerpė́si
№25   | Инфинитив: apkérpėti           | Форма: "apkerpes" (Jis/ji  ) | Варианты: apkérpės / apkerpė̃s
№26   | Инфинитив: apkérpėti           | Форма: "apkerpesime" (Mes     ) | Варианты: apkérpėsime / apkérpėsime / apkerpė́sime
№27   | Инфинитив: apkérpėti           | Форма: "apkerpesite" (Jūs     ) | Варианты: apkérpėsite / apkerpė́site
№28   | Инфинитив: apkérpėti           | Форма: "apkerpeciau" (Aš      ) | Варианты: apkérpėčiau / apkerpė́čiau
№29   | Инфинитив: apkérpėti           | Форма: "apkerpetum" (Tu      ) | Варианты: apkérpėtum / apkerpė́tum
№30   | Инфинитив: apkérpėti           | Форма: "apkerpetu" (Jis/ji  ) | Варианты: apkérpėtų / apkerpė́tų
№31   | Инфинитив: apkérpėti           | Форма: "apkerpetume" (Mes     ) | Варианты: apkérpėtume / apkerpė́tume
№32   | Инфинитив: apkérpėti           | Форма: "apkerpetute" (Jūs     ) | Варианты: apkérpėtute / apkerpė́tute
№33   | Инфинитив: apkérpėti           | Форма: "apkerpek" (Tu      ) | Варианты: apkérpėk / apkerpė́k
№34   | Инфинитив: apkérpėti           | Форма: "apkerpekite" (Jūs     ) | Варианты: apkérpėkite / apkerpė́kite
№35   | Инфинитив: apkérpėti           | Форма: "apkerpedavau" (Aš      ) | Варианты: apkérpėdavau / apkerpė́davau
№36   | Инфинитив: apkérpėti           | Форма: "apkerpedavai" (Tu      ) | Варианты: apkérpėdavai / apkerpė́davai
№37   | Инфинитив: apkérpėti           | Форма: "apkerpedavo" (Jis/ji  ) | Варианты: apkérpėdavo / apkerpė́davo
№38   | Инфинитив: apkérpėti           | Форма: "apkerpedavome" (Mes     ) | Варианты: apkérpėdavome / apkerpė́davome
№39   | Инфинитив: apkérpėti           | Форма: "apkerpedavote" (Jūs     ) | Варианты: apkérpėdavote / apkerpė́davote
№40   | Инфинитив: apkir̃pti            | Форма: "apkirptu" (Jis/ji  ) | Варианты: apkirptų̃ / apkir̃ptų
№41   | Инфинитив: apkir̃pti            | Форма: "apkirptu" (Jie/jos ) | Варианты: apkirptų̃ / apkir̃ptų
№42   | Инфинитив: apkláusti           | Форма: "apklause" (Jis/ji  ) | Варианты: apklaũsė / apkláusė
№43   | Инфинитив: apkláusti           | Форма: "apklauseme" (Mes     ) | Варианты: apklaũsėme / apkláusėme
№44   | Инфинитив: apkláusti           | Форма: "apklausete" (Jūs     ) | Варианты: apklaũsėte / apkláusėte
№45   | Инфинитив: apkláusti           | Форма: "apklause" (Jie/jos ) | Варианты: apklaũsė / apkláusė
№46   | Инфинитив: apklóti             | Форма: "apklotu" (Jis/ji  ) | Варианты: apklõtų / apklótų
№47   | Инфинитив: apklóti             | Форма: "apklotu" (Jie/jos ) | Варианты: apklõtų / apklótų
№48   | Инфинитив: apkur̃sti            | Форма: "apkurstu" (Jis/ji  ) | Варианты: apkurstų̃ / apkur̃stų
№49   | Инфинитив: apkur̃sti            | Форма: "apkurstu" (Jie/jos ) | Варианты: apkurstų̃ / apkur̃stų
№50   | Инфинитив: apleñkti            | Форма: "aplenkciau" (Aš      ) | Варианты: aplenkčiaũ / apleñkčiau
№51   | Инфинитив: aplóti              | Форма: "aplotu" (Jis/ji  ) | Варианты: aplotų̃ / aplótų
№52   | Инфинитив: aplóti              | Форма: "aplotu" (Jie/jos ) | Варианты: aplotų̃ / aplótų
№53   | Инфинитив: apmąstýti           | Форма: "apmastytume" (Mes     ) | Варианты: apmąstytumè / apmąstýtume
№54   | Инфинитив: apmáuti             | Форма: "apmautu" (Jis/ji  ) | Варианты: apmautų̃ / apmáutų
№55   | Инфинитив: apmáuti             | Форма: "apmautu" (Jie/jos ) | Варианты: apmautų̃ / apmáutų
№56   | Инфинитив: apmė́tyti            | Форма: "apmetyciau" (Aš      ) | Варианты: apmėtyčiaũ / apmė́tyčiau
№57   | Инфинитив: apmė́tyti            | Форма: "apmetytume" (Mes     ) | Варианты: apmėtytumè / apmė́tytume
№58   | Инфинитив: apmokė́ti            | Форма: "apmokeciau" (Aš      ) | Варианты: apmokėčiaũ / apmokė́čiau
№59   | Инфинитив: apmokė́ti            | Форма: "apmoketume" (Mes     ) | Варианты: apmokėtumè / apmokė́tume
№60   | Инфинитив: apmùšti             | Форма: "apmustu" (Jis/ji  ) | Варианты: apmuštų̃ / apmùštų
№61   | Инфинитив: apmùšti             | Форма: "apmustu" (Jie/jos ) | Варианты: apmuštų̃ / apmùštų
№62   | Инфинитив: apniktì             | Форма: "apniktu" (Jis/ji  ) | Варианты: apniktų̃ / apnìktų
№63   | Инфинитив: apniktì             | Форма: "apniktu" (Jie/jos ) | Варианты: apniktų̃ / apnìktų
№64   | Инфинитив: apramìnti           | Форма: "apraminciau" (Aš      ) | Варианты: apraminčiaũ / apramìnčiau
№65   | Инфинитив: aprašýti            | Форма: "apraso" (Jis/ji  ) | Варианты: ãprašo / aprãšo
№66   | Инфинитив: aprašýti            | Форма: "aprasyciau" (Aš      ) | Варианты: aprašyčiaũ / aprašýčiau
№67   | Инфинитив: aprašýti            | Форма: "aprasytume" (Mes     ) | Варианты: aprašytumè / aprašýtume
№68   | Инфинитив: apródyti            | Форма: "aprodyciau" (Aš      ) | Варианты: aprodyčiaũ / apródyčiau
№69   | Инфинитив: aprū́pinti           | Форма: "aprupinciau" (Aš      ) | Варианты: aprūpinčiaũ / aprū́pinčiau
№70   | Инфинитив: aprū́pinti           | Форма: "aprupintume" (Mes     ) | Варианты: aprūpintumè / aprū́pintume
№71   | Инфинитив: apsakýti            | Форма: "apsakyciau" (Aš      ) | Варианты: apsakyčiaũ / apsakýčiau
№72   | Инфинитив: apsálti             | Форма: "apsaltu" (Jis/ji  ) | Варианты: apsaltų̃ / apsáltų
№73   | Инфинитив: apšáudyti           | Форма: "apsaudytume" (Mes     ) | Варианты: apšaudytumè / apšáudytume
№74   | Инфинитив: apsáugoti           | Форма: "apsaugociau" (Aš      ) | Варианты: apsaugočiaũ / apsáugočiau
№75   | Инфинитив: apsė́sti             | Форма: "apsestu" (Jis/ji  ) | Варианты: apsėstų̃ / apsė́stų
№76   | Инфинитив: apsibrė́žti          | Форма: "apsibresi" (Tu      ) | Варианты: apsibrė́ši / apsibrė̃ši
№77   | Инфинитив: apsibrė́žti          | Форма: "apsibresime" (Mes     ) | Варианты: apsibrė́šime / apsibrė̃šime
№78   | Инфинитив: apsibrė́žti          | Форма: "apsibresite" (Jūs     ) | Варианты: apsibrė́šite / apsibrė̃šite
№79   | Инфинитив: apsibrė́žti          | Форма: "apsibrezciau" (Aš      ) | Варианты: apsibrė́žčiau / apsibrė̃žčiau
№80   | Инфинитив: apsibrė́žti          | Форма: "apsibreztum" (Tu      ) | Варианты: apsibrė́žtum / apsibrė̃žtum
№81   | Инфинитив: apsibrė́žti          | Форма: "apsibreztu" (Jis/ji  ) | Варианты: apsibrė́žtų / apsibrė̃žtų
№82   | Инфинитив: apsibrė́žti          | Форма: "apsibreztume" (Mes     ) | Варианты: apsibrė́žtume / apsibrė̃žtume
№83   | Инфинитив: apsibrė́žti          | Форма: "apsibreztute" (Jūs     ) | Варианты: apsibrė́žtute / apsibrė̃žtute
№84   | Инфинитив: apsibrė́žti          | Форма: "apsibrezk" (Tu      ) | Варианты: apsibrė́žk / apsibrė̃žk
№85   | Инфинитив: apsibrė́žti          | Форма: "apsibrezkite" (Jūs     ) | Варианты: apsibrė́žkite / apsibrė̃žkite
№86   | Инфинитив: apsibrė́žti          | Форма: "apsibrezdavau" (Aš      ) | Варианты: apsibrė́ždavau / apsibrė̃ždavau
№87   | Инфинитив: apsibrė́žti          | Форма: "apsibrezdavai" (Tu      ) | Варианты: apsibrė́ždavai / apsibrė̃ždavai
№88   | Инфинитив: apsibrė́žti          | Форма: "apsibrezdavo" (Jis/ji  ) | Варианты: apsibrė́ždavo / apsibrė̃ždavo
№89   | Инфинитив: apsibrė́žti          | Форма: "apsibrezdavome" (Mes     ) | Варианты: apsibrė́ždavome / apsibrė̃ždavome
№90   | Инфинитив: apsibrė́žti          | Форма: "apsibrezdavote" (Jūs     ) | Варианты: apsibrė́ždavote / apsibrė̃ždavote
№91   | Инфинитив: apsidžiaũgti        | Форма: "apsidziaugciau" (Aš      ) | Варианты: apsidžiaugčiaũ / apsidžiaũgčiau
№92   | Инфинитив: apsidžiaũgti        | Форма: "apsidziauk" (Tu      ) | Варианты: apsidžiáuk / apsidžiaũk
№93   | Инфинитив: apsieĩti            | Форма: "apsieiciau" (Aš      ) | Варианты: apsieičiaũ / apsieĩčiau
№94   | Инфинитив: apsigalvóti         | Форма: "apsigalvociau" (Aš      ) | Варианты: apsigalvočiaũ / apsigalvóčiau
№95   | Инфинитив: apsigyvénti         | Форма: "apsigyvenciau" (Aš      ) | Варианты: apsigyvenčiaũ / apsigyvénčiau
№96   | Инфинитив: apsilankýti         | Форма: "apsilankyciau" (Aš      ) | Варианты: apsilankyčiaũ / apsilankýčiau
№97   | Инфинитив: apsimèsti           | Форма: "apsimesciau" (Aš      ) | Варианты: apsimesčiaũ / apsimèsčiau
№98   | Инфинитив: apsireñgti          | Форма: "apsirengciau" (Aš      ) | Варианты: apsirengčiaũ / apsireñgčiau
№99   | Инфинитив: apsirìkti           | Форма: "apsirikciau" (Aš      ) | Варианты: apsirikčiaũ / apsirìkčiau
№100  | Инфинитив: apsisprę́sti         | Форма: "apsispresciau" (Aš      ) | Варианты: apsispręsčiaũ / apsisprę́sčiau
№101  | Инфинитив: apsistóti           | Форма: "apsistociau" (Aš      ) | Варианты: apsistočiaũ / apsistóčiau
№102  | Инфинитив: apsisùkti           | Форма: "apsisukciau" (Aš      ) | Варианты: apsisukčiaũ / apsisùkčiau
№103  | Инфинитив: apsiver̃kti          | Форма: "apsiverkciau" (Aš      ) | Варианты: apsiverkčiaũ / apsiver̃kčiau
№104  | Инфинитив: apsiver̃sti          | Форма: "apsiverciau" (Aš      ) | Варианты: apsiverčiaũ / apsìverčiau
№105  | Инфинитив: apsivèsti           | Форма: "apsivesciau" (Aš      ) | Варианты: apsivesčiaũ / apsivèsčiau
№106  | Инфинитив: apsivil̃kti          | Форма: "apsivilkciau" (Aš      ) | Варианты: apsivilkčiaũ / apsivil̃kčiau
№107  | Инфинитив: apskaičiúoti        | Форма: "apskaiciuotume" (Mes     ) | Варианты: apskaičiuotumè / apskaičiúotume
№108  | Инфинитив: apskríeti           | Форма: "apskrietu" (Jis/ji  ) | Варианты: apskrietų̃ / apskríetų
№109  | Инфинитив: apspìsti            | Форма: "apspistu" (Jis/ji  ) | Варианты: apspistų̃ / apspìstų
№110  | Инфинитив: apsprę́sti           | Форма: "apsprestu" (Jis/ji  ) | Варианты: apspręstų̃ / apsprę́stų
№111  | Инфинитив: apstóti             | Форма: "apstotu" (Jis/ji  ) | Варианты: apstotų̃ / apstótų
№112  | Инфинитив: apstul̃bti           | Форма: "apstulbtu" (Jis/ji  ) | Варианты: apstulbtų̃ / apstul̃btų
№113  | Инфинитив: apsùkti             | Форма: "apsuktu" (Jis/ji  ) | Варианты: apsuktų̃ / apsùktų
№114  | Инфинитив: apsuñkinti          | Форма: "apsunkinciau" (Aš      ) | Варианты: apsunkinčiaũ / apsuñkinčiau
№115  | Инфинитив: apsuptì             | Форма: "apsuptu" (Jis/ji  ) | Варианты: apsuptų̃ / apsùptų
№116  | Инфинитив: apšvãrinti          | Форма: "apsvarintume" (Mes     ) | Варианты: apšvarintumè / apšvãrintume
№117  | Инфинитив: apsvarstýti         | Форма: "apsvarstyciau" (Aš      ) | Варианты: apsvarstyčiaũ / apsvarstýčiau
№118  | Инфинитив: apšviẽsti           | Форма: "apsviestume" (Mes     ) | Варианты: apšviestumè / apšviẽstume
№119  | Инфинитив: aptarinė́ti          | Форма: "aptarineciau" (Aš      ) | Варианты: aptarinėčiaũ / aptarinė́čiau
№120  | Инфинитив: aptarinė́ti          | Форма: "aptarinetume" (Mes     ) | Варианты: aptarinėtumè / aptarinė́tume
№121  | Инфинитив: aptar̃ti             | Форма: "aptarciau" (Aš      ) | Варианты: aptarčiaũ / aptar̃čiau
№122  | Инфинитив: aptémti             | Форма: "aptemtu" (Jis/ji  ) | Варианты: aptemtų̃ / aptémtų
№123  | Инфинитив: aptìkti             | Форма: "aptiktu" (Jis/ji  ) | Варианты: aptiktų̃ / aptìktų
№124  | Инфинитив: aptvérti            | Форма: "aptvertu" (Jis/ji  ) | Варианты: aptvertų̃ / aptvértų
№125  | Инфинитив: apvaisìnti          | Форма: "apvaisinciau" (Aš      ) | Варианты: apvaisinčiaũ / apvaisìnčiau
№126  | Инфинитив: apvalýti            | Форма: "apvalyciau" (Aš      ) | Варианты: apvalyčiaũ / apvalýčiau
№127  | Инфинитив: apver̃sti            | Форма: "apverciau" (Aš      ) | Варианты: apverčiaũ / àpverčiau
№128  | Инфинитив: apver̃sti            | Форма: "apverstu" (Jis/ji  ) | Варианты: apverstų̃ / apver̃stų
№129  | Инфинитив: apvil̃kti            | Форма: "apvilktu" (Jis/ji  ) | Варианты: apvilktų̃ / apvil̃ktų
№130  | Инфинитив: apvìlti             | Форма: "apvilciau" (Aš      ) | Варианты: apvilčiaũ / apvìlčiau
№131  | Инфинитив: apvìlti             | Форма: "apviltu" (Jis/ji  ) | Варианты: apviltų̃ / apvìltų
№132  | Инфинитив: apvir̃sti            | Форма: "apvirstu" (Jis/ji  ) | Варианты: apvirstų̃ / apvir̃stų
№133  | Инфинитив: apvõgti             | Форма: "apvogciau" (Aš      ) | Варианты: apvogčiaũ / apvõgčiau
№134  | Инфинитив: apvõgti             | Форма: "apvogtu" (Jis/ji  ) | Варианты: apvogtų̃ / apvõgtų
№135  | Инфинитив: apžiūrė́ti           | Форма: "apziureciau" (Aš      ) | Варианты: apžiūrėčiaũ / apžiūrė́čiau
№136  | Инфинитив: apžiūrė́ti           | Форма: "apziuretume" (Mes     ) | Варианты: apžiūrėtumè / apžiūrė́tume
№137  | Инфинитив: apžvel̃gti           | Форма: "apzvelgtu" (Jis/ji  ) | Варианты: apžvelgtų̃ / apžvel̃gtų
№138  | Инфинитив: apžvel̃gti           | Форма: "apzvelgtume" (Mes     ) | Варианты: apžvelgtumè / apžvel̃gtume
№139  | Инфинитив: areštúoti           | Форма: "arestuociau" (Aš      ) | Варианты: areštuočiaũ / areštúočiau
№140  | Инфинитив: artì                | Форма: "artu" (Jis/ji  ) | Варианты: ar̃tų / ártų
№141  | Инфинитив: atakúoti            | Форма: "atakuociau" (Aš      ) | Варианты: atakuočiaũ / atakúočiau
№142  | Инфинитив: atbė́gti             | Форма: "atbegi" (Tu      ) | Варианты: atbėgì / atbė́gi
№143  | Инфинитив: ateĩti              | Форма: "ateiciau" (Aš      ) | Варианты: ateičiaũ / ateĩčiau
№144  | Инфинитив: atgabénti           | Форма: "atgabenciau" (Aš      ) | Варианты: atgabenčiaũ / atgabénčiau
№145  | Инфинитив: atgailáuti          | Форма: "atgailauciau" (Aš      ) | Варианты: atgailaučiaũ / atgailáučiau
№146  | Инфинитив: atgaivìnti          | Форма: "atgaivinciau" (Aš      ) | Варианты: atgaivinčiaũ / atgaivìnčiau
№147  | Инфинитив: atgìmti             | Форма: "atgimciau" (Aš      ) | Варианты: atgimčiaũ / atgìmčiau
№148  | Инфинитив: atgrę̃žti            | Форма: "atgreztu" (Jis/ji  ) | Варианты: atgręžtų̃ / atgrę̃žtų
№149  | Инфинитив: atgul̃ti             | Форма: "atgulciau" (Aš      ) | Варианты: atgulčiaũ / atgul̃čiau
№150  | Инфинитив: atgul̃ti             | Форма: "atgultu" (Jis/ji  ) | Варианты: atgultų̃ / atgul̃tų
№151  | Инфинитив: atgýti              | Форма: "atgytu" (Jis/ji  ) | Варианты: atgytų̃ / atgýtų
№152  | Инфинитив: atidarýti           | Форма: "atidaryciau" (Aš      ) | Варианты: atidaryčiaũ / atidarýčiau
№153  | Инфинитив: atidėlióti          | Форма: "atideliotume" (Mes     ) | Варианты: atidėliotumè / atidėliótume
№154  | Инфинитив: atideñgti           | Форма: "atidengtu" (Jis/ji  ) | Варианты: atidengtų̃ / atideñgtų
№155  | Инфинитив: atidė́ti             | Форма: "atideciau" (Aš      ) | Варианты: atidėčiaũ / atidė́čiau
№156  | Инфинитив: atidė́ti             | Форма: "atidetume" (Mes     ) | Варианты: atidėtumè / atidė́tume
№157  | Инфинитив: atidìrbti           | Форма: "atidirbciau" (Aš      ) | Варианты: atidirbčiaũ / atidìrbčiau
№158  | Инфинитив: atidìrbti           | Форма: "atidirbtu" (Jis/ji  ) | Варианты: atidirbtų̃ / atidìrbtų
№159  | Инфинитив: atidúoti            | Форма: "atiduociau" (Aš      ) | Варианты: atiduočiaũ / atidúočiau
№160  | Инфинитив: atim̃ti              | Форма: "atimciau" (Aš      ) | Варианты: atimčiaũ / atim̃čiau
№161  | Инфинитив: atim̃ti              | Форма: "atimtu" (Jis/ji  ) | Варианты: atimtų̃ / atim̃tų
№162  | Инфинитив: atitìkti            | Форма: "atitikciau" (Aš      ) | Варианты: atitikčiaũ / atitìkčiau
№163  | Инфинитив: atitráukti          | Форма: "atitrauktu" (Jis/ji  ) | Варианты: atitrauktų̃ / atitráuktų
№164  | Инфинитив: atitrū́kti           | Форма: "atitruktu" (Jis/ji  ) | Варианты: atitrūktų̃ / atitrū́ktų
№165  | Инфинитив: atitrū́kti           | Форма: "atitruktume" (Mes     ) | Варианты: atitrūktumè / atitrū́ktume
№166  | Инфинитив: atjùngti            | Форма: "atjungtu" (Jis/ji  ) | Варианты: atjungtų̃ / atjùngtų
№167  | Инфинитив: atkàsti             | Форма: "atkase" (Jis/ji  ) | Варианты: atkãsė / àtkasė
№168  | Инфинитив: atkàsti             | Форма: "atkaseme" (Mes     ) | Варианты: atkãsėme / àtkasėme
№169  | Инфинитив: atkàsti             | Форма: "atkastu" (Jis/ji  ) | Варианты: atkastų̃ / atkàstų
№170  | Инфинитив: atkeltì             | Форма: "atkeltu" (Jis/ji  ) | Варианты: atkeltų̃ / atkéltų
№171  | Инфинитив: atker̃šyti           | Форма: "atkersytume" (Mes     ) | Варианты: atkeršytumè / atker̃šytume
№172  | Инфинитив: atkim̃šti            | Форма: "atkimsai" (Tu      ) | Варианты: atkìmšai / atkimšaĩ
№173  | Инфинитив: atkim̃šti            | Форма: "atkimso" (Jis/ji  ) | Варианты: atkìmšo / atkim̃šo
№174  | Инфинитив: atkim̃šti            | Форма: "atkimsome" (Mes     ) | Варианты: atkìmšome / atkim̃šome
№175  | Инфинитив: atkim̃šti            | Форма: "atkimsote" (Jūs     ) | Варианты: atkìmšote / atkim̃šote
№176  | Инфинитив: atkim̃šti            | Форма: "atkimstu" (Jis/ji  ) | Варианты: atkimštų̃ / atkim̃štų
№177  | Инфинитив: atkir̃sti            | Форма: "atkirsciau" (Aš      ) | Варианты: atkirsčiaũ / atkir̃sčiau
№178  | Инфинитив: atkir̃sti            | Форма: "atkirstu" (Jis/ji  ) | Варианты: atkirstų̃ / atkir̃stų
№179  | Инфинитив: atkreĩpti           | Форма: "atkreipciau" (Aš      ) | Варианты: atkreipčiaũ / atkreĩpčiau
№180  | Инфинитив: atlaikýti           | Форма: "atlaikyciau" (Aš      ) | Варианты: atlaikyčiaũ / atlaikýčiau
№181  | Инфинитив: atláisvinti         | Форма: "atlaisvinciau" (Aš      ) | Варианты: atlaisvinčiaũ / atláisvinčiau
№182  | Инфинитив: atléisti            | Форма: "atleisciau" (Aš      ) | Варианты: atleisčiaũ / atléisčiau
№183  | Инфинитив: atlìkti             | Форма: "atlikciau" (Aš      ) | Варианты: atlikčiaũ / atlìkčiau
№184  | Инфинитив: atlýginti           | Форма: "atlyginciau" (Aš      ) | Варианты: atlyginčiaũ / atlýginčiau
№185  | Инфинитив: atmèsti             | Форма: "atmesciau" (Aš      ) | Варианты: atmesčiaũ / atmèsčiau
№186  | Инфинитив: atmèsti             | Форма: "atmestu" (Jis/ji  ) | Варианты: atmestų̃ / atmèstų
№187  | Инфинитив: atmiñti             | Форма: "atminciau" (Aš      ) | Варианты: atminčiaũ / atmiñčiau
№188  | Инфинитив: atmiñti             | Форма: "atmintu" (Jis/ji  ) | Варианты: atmintų̃ / atmiñtų
№189  | Инфинитив: atmùšti             | Форма: "atmusciau" (Aš      ) | Варианты: atmuščiaũ / atmùščiau
№190  | Инфинитив: atmùšti             | Форма: "atmustu" (Jis/ji  ) | Варианты: atmuštų̃ / atmùštų
№191  | Инфинитив: atnaũjinti          | Форма: "atnaujinciau" (Aš      ) | Варианты: atnaujinčiaũ / atnaũjinčiau
№192  | Инфинитив: atnèšti             | Форма: "atnesime" (Mes     ) | Варианты: atnešimè / atnèšime
№193  | Инфинитив: atpalaidúoti        | Форма: "atpalaiduociau" (Aš      ) | Варианты: atpalaiduočiaũ / atpalaidúočiau
№194  | Инфинитив: atpažìnti           | Форма: "atpazinciau" (Aš      ) | Варианты: atpažinčiaũ / atpažìnčiau
№195  | Инфинитив: atpažìnti           | Форма: "atpazintu" (Jis/ji  ) | Варианты: atpažintų̃ / atpažìntų
№196  | Инфинитив: atpažìnti           | Форма: "atpazintume" (Mes     ) | Варианты: atpažintumè / atpažìntume
№197  | Инфинитив: atplaũkti           | Форма: "atplauke" (Jis/ji  ) | Варианты: atplaũkė / àtplaukė
№198  | Инфинитив: atplaũkti           | Форма: "atplaukeme" (Mes     ) | Варианты: atplaũkėme / àtplaukėme
№199  | Инфинитив: atplė́šti            | Форма: "atplesime" (Mes     ) | Варианты: atplėšimè / atplė́šime
№200  | Инфинитив: atplė́šti            | Форма: "atplestu" (Jis/ji  ) | Варианты: atplėštų̃ / atplė́štų
№201  | Инфинитив: atràsti             | Форма: "atrasciau" (Aš      ) | Варианты: atrasčiaũ / atràsčiau
№202  | Инфинитив: atrašýti            | Форма: "atraso" (Jis/ji  ) | Варианты: ãtrašo / atrãšo
№203  | Инфинитив: atriẽkti            | Форма: "atriektu" (Jis/ji  ) | Варианты: atriektų̃ / atriẽktų
№204  | Инфинитив: atrìšti             | Форма: "atrisime" (Mes     ) | Варианты: atrišimè / atrìšime
№205  | Инфинитив: atrìšti             | Форма: "atristu" (Jis/ji  ) | Варианты: atrištų̃ / atrìštų
№206  | Инфинитив: atrìšti             | Форма: "atristume" (Mes     ) | Варианты: atrištumè / atrìštume
№207  | Инфинитив: atródyti             | Форма: "atrodyciau" (Aš      ) | Варианты: atrodyčiaũ / atródyčiau
№208  | Инфинитив: atsakinė́ti          | Форма: "atsakines" (Jis/ji  ) | Варианты: atsakìnės / atsakinė̃s
№209  | Инфинитив: atsakinė́ti          | Форма: "atsakineciau" (Aš      ) | Варианты: atsakinėčiaũ / atsakinė́čiau
№210  | Инфинитив: atsakinė́ti          | Форма: "atsakinetume" (Mes     ) | Варианты: atsakinėtumè / atsakinė́tume
№211  | Инфинитив: atšálti             | Форма: "atsaltu" (Jis/ji  ) | Варианты: atšaltų̃ / atšáltų
№212  | Инфинитив: atšaũkti            | Форма: "atsauktu" (Jis/ji  ) | Варианты: atšauktų̃ / atšaũktų
№213  | Инфинитив: atšaũkti            | Форма: "atsauktume" (Mes     ) | Варианты: atšauktumè / atšaũktume
№214  | Инфинитив: atšaũkti            | Форма: "atsauk" (Tu      ) | Варианты: atšáuk / atšaũk
№215  | Инфинитив: atšaũkti            | Форма: "atsaukite" (Jūs     ) | Варианты: atšáukite / atšaũkite
№216  | Инфинитив: atsègti             | Форма: "atsegtu" (Jis/ji  ) | Варианты: atsegtų̃ / atsègtų
№217  | Инфинитив: atsèkti             | Форма: "atsekciau" (Aš      ) | Варианты: atsekčiaũ / atsèkčiau
№218  | Инфинитив: atsèkti             | Форма: "atsektu" (Jis/ji  ) | Варианты: atsektų̃ / atsèktų
№219  | Инфинитив: atsibùsti           | Форма: "atsibusciau" (Aš      ) | Варианты: atsibusčiaũ / atsibùsčiau
№220  | Инфинитив: atsidėkóti          | Форма: "atsidekociau" (Aš      ) | Варианты: atsidėkočiaũ / atsidėkóčiau
№221  | Инфинитив: atsidėkóti          | Форма: "atsidekotume" (Mes     ) | Варианты: atsidėkotumè / atsidėkótume
№222  | Инфинитив: atsidúoti           | Форма: "atsiduociau" (Aš      ) | Варианты: atsiduočiaũ / atsidúočiau
№223  | Инфинитив: atsigáuti           | Форма: "atsigauciau" (Aš      ) | Варианты: atsigaučiaũ / atsigáučiau
№224  | Инфинитив: atsigrę̃žti          | Форма: "atsigrezciau" (Aš      ) | Варианты: atsigręžčiaũ / atsigrę̃žčiau
